epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8897,1.37411,1.05135,1.42509,0.57729,0.70003,0.64246,0.31978,1.63651,1.1551,1.68572,0.000552491,0.000552491,0.000552491
2,67.9775,1.33232,0.86405,1.40346,0.63713,0.71867,0.70959,0.42497,1.35368,1.03414,1.46543,0.00109719,0.00109719,0.00109719
3,100.765,1.32095,0.8426,1.39087,0.45252,0.75726,0.59834,0.36023,1.3282,1.45486,1.44142,0.00163088,0.00163088,0.00163088
4,133.474,1.28074,0.79983,1.36963,0.72205,0.73144,0.78318,0.49011,1.28387,0.89196,1.39501,0.00161749,0.00161749,0.00161749
5,165.827,1.25306,0.7675,1.34181,0.75793,0.74762,0.80464,0.50918,1.29007,0.76254,1.38322,0.00160099,0.00160099,0.00160099
6,198.02,1.22607,0.73953,1.32334,0.74994,0.73906,0.80278,0.51728,1.26,0.71522,1.36491,0.00158448,0.00158448,0.00158448
7,230.438,1.20469,0.72462,1.31362,0.68772,0.73942,0.78115,0.48582,1.3094,0.77166,1.40587,0.00156798,0.00156798,0.00156798
8,262.493,1.20304,0.70894,1.31414,0.74594,0.77822,0.81404,0.52099,1.26799,0.7069,1.37848,0.00155148,0.00155148,0.00155148
9,294.832,1.17451,0.6907,1.29596,0.71013,0.76689,0.7913,0.51281,1.24236,0.73696,1.35505,0.00153497,0.00153497,0.00153497
10,326.98,1.1771,0.68863,1.30183,0.77746,0.74739,0.80126,0.51641,1.25077,0.74885,1.35685,0.00151847,0.00151847,0.00151847
11,359.071,1.16343,0.67308,1.28572,0.75349,0.7591,0.81319,0.53321,1.22122,0.67899,1.3329,0.00150197,0.00150197,0.00150197
12,391.335,1.15141,0.66333,1.27595,0.73535,0.76996,0.8064,0.52072,1.26849,0.70181,1.37324,0.00148546,0.00148546,0.00148546
13,423.177,1.13542,0.65725,1.26949,0.73496,0.8042,0.82366,0.53254,1.25385,0.68067,1.35861,0.00146896,0.00146896,0.00146896
14,455.422,1.13711,0.64575,1.26704,0.75503,0.78683,0.82677,0.54522,1.22825,0.67126,1.33648,0.00145246,0.00145246,0.00145246
15,487.599,1.11304,0.63066,1.25622,0.71295,0.81446,0.81613,0.54498,1.21354,0.70737,1.33987,0.00143595,0.00143595,0.00143595
16,519.871,1.11819,0.63669,1.25486,0.77041,0.79374,0.82577,0.53781,1.24517,0.67054,1.35715,0.00141945,0.00141945,0.00141945
17,552.046,1.10941,0.62691,1.25055,0.77306,0.75551,0.81476,0.53508,1.23706,0.66411,1.35284,0.00140295,0.00140295,0.00140295
