epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,584.171,1.08984,0.6061,1.23781,0.70428,0.81684,0.82238,0.54356,1.21935,0.67293,1.33536,0.00138644,0.00138644,0.00138644
19,616.406,1.08998,0.61018,1.23927,0.76786,0.77247,0.82086,0.5421,1.24063,0.65442,1.34915,0.00136994,0.00136994,0.00136994
20,648.446,1.08449,0.60188,1.241,0.70704,0.82276,0.80974,0.533,1.24286,0.64929,1.36241,0.00135344,0.00135344,0.00135344
21,680.644,1.07885,0.59644,1.23327,0.74565,0.78293,0.80651,0.53541,1.21673,0.65475,1.33502,0.00133693,0.00133693,0.00133693
22,712.788,1.07182,0.58534,1.22586,0.75737,0.79937,0.80061,0.52936,1.22891,0.68181,1.34295,0.00132043,0.00132043,0.00132043
23,745.193,1.0581,0.58251,1.21578,0.73364,0.79205,0.81551,0.54665,1.22434,0.67145,1.34149,0.00130393,0.00130393,0.00130393
24,777.505,1.05572,0.57887,1.21842,0.79325,0.75716,0.81971,0.54364,1.22356,0.65731,1.33966,0.00128742,0.00128742,0.00128742
25,809.776,1.0443,0.57372,1.2152,0.74456,0.79507,0.81904,0.5416,1.2313,0.66813,1.34311,0.00127092,0.00127092,0.00127092
26,842.025,1.03658,0.55797,1.20412,0.77472,0.74686,0.81558,0.53766,1.24241,0.65523,1.35003,0.00125442,0.00125442,0.00125442
27,874.238,1.03498,0.56243,1.20745,0.75633,0.78874,0.80848,0.5324,1.23779,0.6601,1.35213,0.00123791,0.00123791,0.00123791
28,906.928,1.02225,0.55607,1.19464,0.73437,0.80139,0.81546,0.54086,1.24469,0.66587,1.35185,0.00122141,0.00122141,0.00122141
29,939.119,1.00804,0.54345,1.18649,0.7749,0.77772,0.82295,0.54185,1.23655,0.66567,1.35848,0.00120491,0.00120491,0.00120491
30,971.484,1.00631,0.53911,1.18279,0.77388,0.77935,0.81766,0.54176,1.25106,0.65486,1.36004,0.0011884,0.0011884,0.0011884
31,1003.86,0.9971,0.53372,1.18031,0.7601,0.78962,0.81031,0.53596,1.24002,0.65415,1.34903,0.0011719,0.0011719,0.0011719
32,1036.21,0.99279,0.52973,1.17608,0.76419,0.78089,0.81493,0.54499,1.23246,0.65515,1.34479,0.0011554,0.0011554,0.0011554
33,1068.49,0.98538,0.5221,1.16957,0.72816,0.80423,0.8109,0.54116,1.23805,0.66408,1.34559,0.00113889,0.00113889,0.00113889
34,1100.66,0.97286,0.51653,1.1611,0.7376,0.80389,0.82306,0.54108,1.26211,0.66978,1.37566,0.00112239,0.00112239,0.00112239
35,1132.92,0.97445,0.51295,1.17087,0.77465,0.78434,0.81456,0.53725,1.25302,0.67867,1.37005,0.00110589,0.00110589,0.00110589
36,1164.88,0.95735,0.50328,1.15747,0.74527,0.79883,0.80311,0.53967,1.23244,0.67045,1.34638,0.00108938,0.00108938,0.00108938
37,1196.85,0.96232,0.51018,1.15535,0.74992,0.79844,0.81017,0.53457,1.24893,0.68261,1.36235,0.00107288,0.00107288,0.00107288
38,1229.12,0.94184,0.49226,1.14542,0.75904,0.73434,0.79582,0.53204,1.25232,0.68882,1.3754,0.00105638,0.00105638,0.00105638
39,1261.47,0.94697,0.49541,1.1512,0.74541,0.78798,0.79954,0.53098,1.2404,0.68045,1.3656,0.00103987,0.00103987,0.00103987
40,1294.01,0.93075,0.48252,1.139,0.73866,0.77381,0.80124,0.53631,1.23728,0.70368,1.36754,0.00102337,0.00102337,0.00102337
41,1326.16,0.9218,0.48174,1.13526,0.76723,0.80017,0.80142,0.53164,1.23431,0.69259,1.36305,0.00100687,0.00100687,0.00100687
42,1358.53,0.90804,0.47155,1.1279,0.75405,0.76047,0.80722,0.53892,1.24283,0.70751,1.3746,0.000990365,0.000990365,0.000990365
43,1390.76,0.90875,0.47376,1.13038,0.75131,0.7931,0.79748,0.52522,1.25439,0.69358,1.3728,0.000973861,0.000973861,0.000973861
44,1423.13,0.89928,0.46883,1.12138,0.7443,0.76486,0.80014,0.52796,1.25768,0.70333,1.38711,0.000957358,0.000957358,0.000957358
45,1455.24,0.89343,0.4657,1.12153,0.77647,0.74289,0.79373,0.53103,1.24747,0.71081,1.37885,0.000940855,0.000940855,0.000940855
46,1488.3,0.88305,0.45368,1.10769,0.76371,0.79903,0.80581,0.54147,1.24712,0.69371,1.39289,0.000924352,0.000924352,0.000924352
47,1521.15,0.87647,0.45556,1.10896,0.75912,0.78351,0.79505,0.52657,1.2584,0.71356,1.3952,0.000907848,0.000907848,0.000907848
48,1553.48,0.87094,0.45055,1.10738,0.73915,0.78517,0.79667,0.5352,1.26424,0.73118,1.39594,0.000891345,0.000891345,0.000891345
49,1585.85,0.85703,0.44228,1.10522,0.71471,0.83018,0.81095,0.54104,1.25395,0.70024,1.39972,0.000874842,0.000874842,0.000874842
50,1617.94,0.85818,0.44126,1.09568,0.75149,0.79927,0.79881,0.52021,1.28716,0.7151,1.45009,0.000858338,0.000858338,0.000858338
51,1650.08,0.84909,0.43823,1.09468,0.74023,0.79139,0.79207,0.52295,1.27073,0.74583,1.41394,0.000841835,0.000841835,0.000841835
52,1682.5,0.83989,0.43233,1.09504,0.7388,0.78851,0.79393,0.52641,1.26176,0.70715,1.40089,0.000825332,0.000825332,0.000825332
53,1714.53,0.82981,0.42723,1.08644,0.74604,0.80841,0.80188,0.53278,1.25736,0.72856,1.40022,0.000808828,0.000808828,0.000808828
54,1746.76,0.8259,0.42225,1.08094,0.77411,0.79578,0.81162,0.54149,1.2655,0.7136,1.42795,0.000792325,0.000792325,0.000792325
55,1778.83,0.81344,0.41976,1.07807,0.75739,0.77185,0.80427,0.53341,1.26682,0.73806,1.42835,0.000775822,0.000775822,0.000775822
56,1810.78,0.81205,0.41795,1.07114,0.70464,0.80887,0.79154,0.52595,1.25727,0.74948,1.42087,0.000759318,0.000759318,0.000759318
57,1842.67,0.80364,0.41487,1.06814,0.77924,0.73922,0.80395,0.53366,1.26353,0.75448,1.43541,0.000742815,0.000742815,0.000742815
58,1874.94,0.79857,0.41008,1.06846,0.76562,0.77152,0.80361,0.53004,1.28392,0.76163,1.4339,0.000726312,0.000726312,0.000726312
59,1907.75,0.7951,0.40793,1.05789,0.72573,0.81004,0.80692,0.53284,1.28031,0.74161,1.4483,0.000709809,0.000709809,0.000709809
60,1940.89,0.77578,0.40002,1.0557,0.74721,0.81862,0.81046,0.53851,1.27426,0.74163,1.44603,0.000693305,0.000693305,0.000693305
61,1974.38,0.77002,0.39753,1.047,0.74405,0.79892,0.81167,0.53942,1.26266,0.74193,1.45006,0.000676802,0.000676802,0.000676802
62,2007.7,0.77132,0.39464,1.04551,0.7683,0.78612,0.81086,0.54012,1.27136,0.74692,1.43528,0.000660299,0.000660299,0.000660299
63,2041.16,0.76205,0.39502,1.0426,0.78226,0.74444,0.80479,0.52972,1.27949,0.75466,1.45658,0.000643795,0.000643795,0.000643795
64,2073.5,0.75379,0.38648,1.04082,0.75547,0.78855,0.79814,0.52737,1.28145,0.76325,1.45393,0.000627292,0.000627292,0.000627292
65,2105.51,0.74666,0.38479,1.0325,0.75944,0.77228,0.79818,0.52952,1.27276,0.75476,1.46042,0.000610789,0.000610789,0.000610789
66,2137.59,0.73959,0.37849,1.0285,0.77948,0.78018,0.81673,0.54244,1.27511,0.74091,1.44582,0.000594286,0.000594286,0.000594286
67,2169.56,0.73742,0.37807,1.03329,0.7601,0.769,0.80457,0.53376,1.2725,0.77349,1.46249,0.000577782,0.000577782,0.000577782
68,2201.59,0.72352,0.37128,1.02613,0.76465,0.77518,0.80258,0.5309,1.2938,0.77439,1.48591,0.000561279,0.000561279,0.000561279
69,2233.49,0.72199,0.37025,1.01759,0.7467,0.76657,0.7952,0.52545,1.28679,0.78683,1.48226,0.000544776,0.000544776,0.000544776
70,2265.7,0.71783,0.3676,1.01829,0.7458,0.78128,0.80054,0.53197,1.28494,0.78387,1.46629,0.000528272,0.000528272,0.000528272
71,2297.47,0.70466,0.36181,1.01058,0.75329,0.77258,0.79605,0.52646,1.28596,0.79017,1.48501,0.000511769,0.000511769,0.000511769
72,2329.31,0.70795,0.36255,1.01334,0.71948,0.7946,0.79406,0.52414,1.28242,0.77955,1.49852,0.000495266,0.000495266,0.000495266
73,2361.11,0.69692,0.35752,1.01012,0.73844,0.79018,0.79802,0.53022,1.2869,0.78316,1.48915,0.000478762,0.000478762,0.000478762
74,2393.09,0.69178,0.35479,1.00346,0.75192,0.77476,0.79698,0.52936,1.27834,0.7935,1.5026,0.000462259,0.000462259,0.000462259
75,2425.09,0.6797,0.34937,1.0029,0.7413,0.80433,0.80562,0.53926,1.27787,0.77237,1.49976,0.000445756,0.000445756,0.000445756
76,2457.12,0.68211,0.34908,1.00022,0.78886,0.77953,0.80638,0.53669,1.28225,0.78051,1.49599,0.000429253,0.000429253,0.000429253
77,2489.48,0.67584,0.35015,0.99744,0.77507,0.77824,0.80827,0.53548,1.28419,0.77572,1.50412,0.000412749,0.000412749,0.000412749
78,2521.7,0.67218,0.34595,0.9951,0.73381,0.8025,0.80082,0.52865,1.29024,0.79954,1.52671,0.000396246,0.000396246,0.000396246
79,2554.04,0.66325,0.34081,0.9902,0.73972,0.81028,0.80141,0.52624,1.29393,0.79821,1.5339,0.000379743,0.000379743,0.000379743
80,2586.19,0.65763,0.34078,0.99047,0.76459,0.78868,0.80238,0.53152,1.28968,0.79192,1.52933,0.000363239,0.000363239,0.000363239
81,2618.52,0.65315,0.33886,0.98488,0.78217,0.77235,0.79824,0.53048,1.2886,0.79635,1.53869,0.000346736,0.000346736,0.000346736
82,2650.94,0.64875,0.33412,0.98426,0.77072,0.78264,0.79964,0.53124,1.28789,0.80646,1.53147,0.000330233,0.000330233,0.000330233
83,2682.97,0.64728,0.33399,0.98638,0.75476,0.78364,0.7927,0.52494,1.28785,0.80424,1.52637,0.000313729,0.000313729,0.000313729
84,2715.25,0.63466,0.32807,0.97539,0.76327,0.78424,0.79613,0.52704,1.28452,0.81556,1.54482,0.000297226,0.000297226,0.000297226
85,2747.69,0.64048,0.33127,0.98474,0.73284,0.81655,0.80423,0.53476,1.28836,0.78922,1.54124,0.000280723,0.000280723,0.000280723
86,2779.95,0.63485,0.32705,0.97681,0.73518,0.80142,0.80234,0.53145,1.28932,0.79582,1.54027,0.00026422,0.00026422,0.00026422
87,2812.18,0.62332,0.32328,0.97316,0.77067,0.76257,0.79644,0.52931,1.28498,0.81015,1.53752,0.000247716,0.000247716,0.000247716
88,2844.52,0.62096,0.3238,0.9698,0.77218,0.76788,0.80454,0.5331,1.28199,0.80333,1.52973,0.000231213,0.000231213,0.000231213
89,2876.84,0.61567,0.31807,0.9644,0.74583,0.79882,0.80041,0.53375,1.28428,0.80376,1.53507,0.00021471,0.00021471,0.00021471
90,2908.88,0.60948,0.31565,0.96355,0.75297,0.78559,0.8015,0.53426,1.28435,0.81373,1.53458,0.000198206,0.000198206,0.000198206
91,2941.79,0.58337,0.26518,0.94646,0.75658,0.7957,0.79788,0.52673,1.28191,0.80134,1.52861,0.000181703,0.000181703,0.000181703
92,2973.55,0.55652,0.25153,0.93416,0.76754,0.78393,0.80182,0.53039,1.28497,0.80521,1.54684,0.0001652,0.0001652,0.0001652
93,3005.29,0.54526,0.24902,0.92967,0.75245,0.80158,0.80797,0.53766,1.28262,0.80624,1.5642,0.000148696,0.000148696,0.000148696
94,3037.05,0.5353,0.24488,0.92749,0.75987,0.78111,0.8032,0.5334,1.28455,0.82421,1.57657,0.000132193,0.000132193,0.000132193
95,3068.71,0.53605,0.24583,0.92676,0.77836,0.77588,0.80303,0.53151,1.28616,0.82145,1.56989,0.00011569,0.00011569,0.00011569
96,3100.34,0.52506,0.23903,0.92135,0.74994,0.78859,0.79706,0.52929,1.28625,0.83746,1.57013,9.91865e-05,9.91865e-05,9.91865e-05
97,3132.05,0.51536,0.23805,0.91605,0.78251,0.76288,0.79633,0.53075,1.2848,0.83162,1.57347,8.26832e-05,8.26832e-05,8.26832e-05
98,3163.9,0.51137,0.2354,0.91402,0.79083,0.75371,0.80078,0.53383,1.28471,0.83601,1.576,6.61799e-05,6.61799e-05,6.61799e-05
99,3195.75,0.5074,0.23173,0.91046,0.76341,0.77359,0.79456,0.52909,1.28697,0.83993,1.57776,4.96766e-05,4.96766e-05,4.96766e-05
100,3227.56,0.50375,0.23267,0.91155,0.76594,0.77247,0.79791,0.53141,1.28539,0.84513,1.57974,3.31733e-05,3.31733e-05,3.31733e-05
